10	0.000004	0.000002
20	0.000006	0.000002
30	0.000010	0.000001
40	0.000014	0.000002
50	0.000023	0.000002
60	0.000031	0.000002
70	0.000044	0.000006
80	0.000054	0.000002
90	0.000076	0.000002
100	0.000090	0.000002
110	0.000111	0.000003
120	0.000132	0.000003
130	0.000147	0.000002
140	0.000170	0.000003
150	0.000192	0.000003
160	0.000297	0.000005
170	0.000360	0.000005
180	0.000442	0.000005
190	0.000179	0.000001
200	0.000213	0.000003
210	0.000234	0.000001
220	0.000251	0.000002
230	0.000218	0.000002
240	0.000236	0.000002
250	0.000256	0.000002
260	0.000281	0.000002
270	0.000441	0.000003
280	0.000383	0.000002
290	0.000348	0.000002
300	0.000372	0.000002
310	0.000423	0.000002
320	0.000416	0.000002
330	0.000429	0.000002
340	0.000757	0.000003
350	0.000813	0.000003
360	0.000557	0.000002
370	0.000535	0.000002
380	0.000581	0.000003
390	0.000594	0.000003
400	0.000624	0.000002
410	0.000883	0.000004
420	0.000700	0.000003
430	0.000723	0.000002
440	0.000719	0.000002
450	0.000711	0.000003
460	0.000740	0.000003
470	0.000769	0.000002
480	0.000900	0.000002
490	0.000865	0.000002
500	0.000883	0.000002
510	0.001260	0.000004
520	0.001613	0.000003
530	0.001548	0.000004
540	0.001600	0.000004
550	0.001646	0.000003
560	0.001087	0.000003
570	0.001125	0.000003
580	0.001430	0.000004
590	0.001295	0.000003
600	0.001245	0.000003
610	0.001705	0.000006
620	0.002140	0.000006
630	0.001707	0.000003
640	0.001347	0.000003
650	0.001407	0.000003
660	0.001404	0.000003
670	0.001491	0.000003
680	0.001517	0.000003
690	0.001656	0.000004
700	0.001577	0.000003
710	0.001897	0.000005
720	0.001860	0.000003
730	0.001809	0.000003
740	0.001761	0.000003
750	0.001835	0.000003
760	0.001901	0.000004
770	0.001933	0.000004
780	0.001957	0.000003
790	0.002036	0.000003
800	0.002138	0.000003
810	0.002138	0.000003
820	0.002163	0.000003
830	0.002238	0.000004
840	0.002315	0.000003
850	0.002324	0.000004
860	0.002402	0.000004
870	0.002434	0.000004
880	0.002497	0.000004
890	0.002548	0.000004
900	0.002605	0.000003
910	0.002724	0.000005
920	0.002746	0.000004
930	0.002834	0.000005
940	0.003065	0.000004
950	0.003183	0.000005
960	0.003473	0.000005
970	0.004217	0.000005
980	0.004193	0.000005
990	0.004027	0.000006
